route_id,route_name,mode,district,year_month,total_boardings,total_revenue,boardings_per_km,avg_load_factor
R006,Anna Stravenue Line,Metro,Parkview,2024-06,203.0,380.23,11.09,0.0018
R007,Robinson Radial Line,Tram,Old Town,2024-06,203.0,367.99,12.85,0.0056
R053,Christopher Oval Line,Tram,Riverside,2024-06,203.0,360.44,39.8,0.0053
R027,Jeremy Bypass Line,Bus,Centro,2024-06,202.0,400.29,34.24,0.0141
R047,Skinner Parkways Line,Bus,Old Town,2024-06,202.0,358.39,17.88,0.0128
R034,Burgess Meadow Line,Bus,Old Town,2024-06,201.0,367.67,9.1,0.0137
R037,Eric Estate Line,Bus,Westend,2024-06,200.0,400.9,9.48,0.0129
R043,Kelly Estate Line,Tram,Parkview,2024-06,199.0,360.42,9.21,0.0055
R046,William Coves Line,Tram,Centro,2024-06,199.0,376.92,16.31,0.0054
R013,Roman Stream Line,Bus,Northgate,2024-06,198.0,357.73,12.45,0.0135
R020,Chavez Village Line,Bus,Old Town,2024-06,197.0,385.41,19.7,0.0133
R045,Stanton Track Line,Tram,Westend,2024-06,197.0,357.99,14.92,0.0054
R055,David Mountains Line,Tram,Harbourside,2024-06,197.0,375.98,8.38,0.0055
R029,Robin Port Line,Bus,Hillcrest,2024-06,195.0,372.71,34.21,0.0132
R022,Elizabeth Squares Line,Bus,Parkview,2024-06,193.0,356.81,9.9,0.0136
R018,Galloway Walk Line,Bus,Eastfield,2024-06,192.0,341.36,10.97,0.0131
R008,Pacheco Avenue Line,Tram,Old Town,2024-06,191.0,367.54,21.7,0.0053
R039,Carlson Mountain Line,Bus,Centro,2024-06,191.0,337.06,45.48,0.0141
R011,Garcia Light Line,Bus,Hillcrest,2024-06,190.0,344.65,15.2,0.0134
R044,Smith Stravenue Line,Bus,Westend,2024-06,190.0,337.29,9.45,0.0135
R019,Michelle Light Line,Tram,Northgate,2024-06,187.0,340.11,11.84,0.0055
R024,Frank Light Line,Metro,Hillcrest,2024-06,187.0,351.77,7.92,0.0018
R033,Julie Plain Line,Bus,Unknown,2024-06,187.0,345.23,34.63,0.0132
R035,Cox Dam Line,Bus,Old Town,2024-06,187.0,344.56,10.81,0.0131
R036,Davis Causeway Line,Bus,Riverside,2024-06,187.0,314.52,8.9,0.0133
R048,Eric Track Line,Bus,Eastfield,2024-06,187.0,335.83,18.33,0.0131
R051,Daniel Lake Line,Bus,Centro,2024-06,186.0,328.6,37.96,0.013
R057,Brandt Plains Line,Bus,Southbank,2024-06,186.0,337.18,20.67,0.0136
R009,Helen Junctions Line,Bus,Hillcrest,2024-06,184.0,348.2,14.6,0.0133
R016,Ray Squares Line,Bus,Westend,2024-06,184.0,335.06,17.86,0.0132
R030,Lewis Parks Line,Tram,Northgate,2024-06,184.0,318.68,7.67,0.0055
R014,Herrera Lane Line,Tram,Harbourside,2024-06,183.0,330.31,52.29,0.0053
R026,Gabrielle Ville Line,Bus,Riverside,2024-06,183.0,317.64,7.5,0.0134
R012,Michael Key Line,Metro,Eastfield,2024-06,180.0,327.15,46.15,0.0019
R038,Carlson Lights Line,Bus,Westend,2024-06,180.0,330.55,28.12,0.0137
R015,Andrea Village Line,Bus,Hillcrest,2024-06,179.0,337.04,13.07,0.0131
R028,Morales Circles Line,Bus,Parkview,2024-06,179.0,332.52,24.19,0.0132
R059,Kim Path Line,Bus,Westend,2024-06,178.0,328.54,8.81,0.0137
R017,Brandon Forks Line,Bus,Centro,2024-06,177.0,313.31,7.8,0.0128
R052,Allen Garden Line,Bus,Northgate,2024-06,177.0,307.05,8.76,0.0135
R004,Brittany Bypass Line,Tram,Northgate,2024-06,171.0,313.54,9.72,0.0054
R050,Carol Overpass Line,Bus,Centro,2024-06,142.0,283.27,6.48,0.0127
